source_id,author,title,editor,translator,publication_year,publisher,edition,doi,isbn,repository,url,source_type,language,copyright_status,notes
M-007,Julius Jolly,"Manava Dharma-Sastra: The Code of Manu, Original Sanskrit Text",Julius Jolly,,1887,Trubner,Trubner's Oriental Series,,,"Internet Archive / Open Library",https://archive.org/details/mnavadharmasstra00joll,critical Sanskrit edition,Sanskrit,Public domain,"Original Sanskrit text critically edited according to standard Sanskrit commentaries with critical notes"
M-008,Vishvanath Narayan Mandlik,"Manava-dharma sastra (Institutes of Manu) with commentaries of Medhatithi, Sarvajnanarayana, Kulluka, Raghavananda, Nandana and Ramachandra",Vishvanath Narayan Mandlik,,1886,Ganpat Krishnaji's Press,Bombay,,,"Wellcome Collection",https://wellcomecollection.org/works/xh5zhnag,commentarial Sanskrit edition,Sanskrit,Public domain,"Two-volume edition containing the Sanskrit text and six commentaries"
